"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"4","Afghanistan",2020-12-15,48,48952,1236,1995,89,1257.5,31.8,51.2,2.3,37,36
"58","Albania",2020-12-15,48,50000,5564,1028,92,17373.2,1933.3,357.2,32,38,37
"127","Algeria",2020-12-15,48,93065,3649,2623,84,2122.3,83.2,59.8,1.9,38,38
"145","Andorra",2020-12-15,48,7382,255,79,1,95870.1,3311.7,1026,13,38,37
"187","Angola",2020-12-15,48,16362,633,372,17,497.8,19.3,11.3,0.5,26,25
"222","Antigua and Barbuda",2020-12-15,48,148,2,5,1,1510.2,20.4,51,10.2,11,0
"268","Argentina",2020-12-15,48,1510203,40284,41204,1195,33414.5,891.3,911.7,26.4,38,37
"330","Armenia",2020-12-15,48,149120,6192,2529,157,50327.4,2089.8,853.5,53,38,35
"345","Australia",2020-12-15,48,28060,67,908,0,1100.4,2.6,35.6,0,40,37
"407","Austria",2020-12-15,48,327679,19609,4648,646,36384.5,2177.3,516.1,71.7,40,38
"428","Azerbaijan",2020-12-15,48,183259,29107,2007,294,18074.7,2870.8,197.9,29,37,35
"495","Bahrain",2020-12-15,48,89444,1150,348,5,52552.3,675.7,204.5,2.9,40,30
"518","Bangladesh",2020-12-15,48,494209,12264,7129,223,3000.9,74.5,43.3,1.4,36,36
"569","Barbados",2020-12-15,48,297,8,7,0,1034.8,27.9,24.4,0,22,0
"604","Belarus",2020-12-15,48,164059,13457,1282,60,17362.6,1424.2,135.7,6.3,37,36
"648","Belgium",2020-12-15,48,611422,16850,18178,671,52754.3,1453.8,1568.4,57.9,40,39
"697","Belize",2020-12-15,48,9511,1498,211,32,23897,3763.8,530.2,80.4,18,16
"755","Benin",2020-12-15,48,3090,17,44,0,254.9,1.4,3.6,0,31,25
"772","Bhutan",2020-12-15,48,439,6,0,0,568.7,7.8,0,0,19,0
"816","Bolivia",2020-12-15,48,147716,1870,9026,24,12654.5,160.2,773.2,2.1,37,36
"854","Bosnia and Herzegovina",2020-12-15,48,102330,6309,3457,376,31188.7,1922.9,1053.6,114.6,38,37
"882","Botswana",2020-12-15,48,12873,815,38,2,5473.2,346.5,16.2,0.9,24,13
"940","Brazil",2020-12-15,48,6970034,295035,182799,4640,32791.1,1388,860,21.8,39,38
"996","Brunei",2020-12-15,48,152,0,3,0,347.8,0,6.9,0,38,0
"1025","Bulgaria",2020-12-15,48,184287,16122,6005,849,26523.7,2320.4,864.3,122.2,38,36
"1065","Burkina Faso",2020-12-15,48,4300,831,73,4,205.7,39.8,3.5,0.2,38,37
"1101","Burma",2020-12-15,48,110667,8928,2319,168,2033.9,164.1,42.6,3.1,34,14
"1129","Burundi",2020-12-15,48,735,19,1,0,61.8,1.6,0.1,0,26,0
"1173","Cambodia",2020-12-15,48,362,8,0,0,21.7,0.5,0,0,37,0
"1218","Cameroon",2020-12-15,48,25359,607,445,2,955.3,22.9,16.8,0.1,37,35
"1255","Canada",2020-12-15,48,479051,46321,13685,798,12692.8,1227.3,362.6,21.1,39,38
"1320","Cape Verde",2020-12-15,48,11395,277,110,1,20494.6,498.2,197.8,1.8,33,24
"1354","Central African Republic",2020-12-15,48,4936,9,63,0,1021.9,1.9,13,0,31,26
"1406","Chad",2020-12-15,48,1784,55,102,0,108.6,3.3,6.2,0,32,32
"1452","Chile",2020-12-15,48,575329,11795,15949,269,30096.7,617,834.3,14.1,39,37
"1482","Colombia",2020-12-15,48,1444646,60036,39356,1198,28391.5,1179.9,773.5,23.5,38,37
"1509","Comoros",2020-12-15,48,633,16,7,0,727.6,18.4,8,0,28,0
"1527","Costa Rica",2020-12-15,48,154096,6666,1956,110,30250.5,1308.6,384,21.6,38,30
"1580","Cote d'Ivoire",2020-12-15,48,21775,262,133,1,825.5,9.9,5,0,37,34
"1642","Croatia",2020-12-15,48,179718,24866,2778,480,43780.3,6057.5,676.7,116.9,38,36
"1661","Cuba",2020-12-15,48,9588,606,137,1,846.5,53.5,12.1,0.1,37,36
"1711","Cyprus",2020-12-15,48,15789,2503,84,16,13081.2,2073.7,69.6,13.3,38,35
"1746","Czech Republic",2020-12-15,48,586251,35181,9743,707,54743.8,3285.2,909.8,66,39,37
"1804","Democratic Republic of the Congo",2020-12-15,48,14597,847,358,14,163,9.5,4,0.2,36,36
"1815","Denmark",2020-12-15,48,116636,21304,961,60,20137.4,3678.2,165.9,10.4,40,38
"1896","Diamond Princess Cruise Ship",2020-12-15,48,712,0,13,0,NA,NA,NA,NA,44,38
"1928","Djibouti",2020-12-15,48,5749,35,61,0,5818.8,35.4,61.7,0,35,29
"1978","Dominica",2020-12-15,48,88,3,0,0,1222.2,41.7,0,0,0,0
"2009","Dominican Republic",2020-12-15,48,155797,6167,2367,20,14361.8,568.5,218.2,1.8,38,37
