"","country","alpha3","latitude","longitude","avg_export_m","avg_import_m"
"1","Afghanistan","AFG",33,65,831.8087535,26.0055868333333
"2","Albania","ALB",41,20,57.6062146666667,82.9127605
"3","Algeria","DZA",28,3,1352.75823966667,2997.71683516667
"4","Andorra","AND",42.5,1.6,3.2661635,9.80903216666667
"5","Angola","AGO",-12.5,18.5,792.595450333333,2065.06399916667
"6","Anguilla","AIA",18.25,-63.1667,64.3800976666667,3.86802133333333
"7","Antigua and Barbuda","ATG",17.05,-61.8,445.961366333333,9.189794
"8","Argentina","ARG",-34,-64,8583.5756175,4549.700204
"9","Armenia","ARM",40,45,45.9101281666667,58.3188721666667
"10","Aruba","ABW",12.5,-69.9667,732.1809455,31.908979
"11","Australia","AUS",-27,133,24418.1900431667,10967.088756
"12","Austria","AUT",47.3333,13.3333,4133.2030895,12042.9362423333
"13","Azerbaijan","AZE",40.5,47.5,352.758158833333,238.318483166667
"14","Bahamas","BHS",24.25,-76,2797.65926583333,396.148724
"15","Bahrain","BHR",26,50.55,1233.68876466667,890.729843833333
"16","Bangladesh","BGD",24,90,1597.8555025,6074.1780445
"17","Barbados","BRB",13.1667,-59.5333,545.542411,51.8949091666667
"18","Belarus","BLR",53,28,116.127867833333,279.926556833333
"19","Belgium","BEL",50.8333,4,31659.0009655,18284.2297285
"20","Belize","BLZ",17.25,-88.75,342.284297,123.911600166667
"21","Benin","BEN",9.5,2.25,305.725060166667,10.5238376666667
"22","Bermuda","BMU",32.3333,-64.75,596.0778575,38.5064891666667
"23","Bhutan","BTN",27.5,90.5,16.8520141666667,1.726398
"24","Bolivia","BOL",-17,-65,624.529161,644.965655333333
"25","Bosnia and Herzegovina","BIH",44,18,35.2680883333333,90.6892923333333
"26","Botswana","BWA",-22,24,68.3068611666667,388.2474575
"27","Brazil","BRA",-10,-55,36078.8193043333,28057.9140781667
"28","British Indian Ocean Territories","IOT",-6,71.5,13.6420226666667,6.2221355
"29","British Virgin Islands","VGB",18.5,-64.5,446.7137245,14.5074166666667
"30","Brunei","BRN",4.5,114.6667,256.973514333333,46.4182535
"31","Bulgaria","BGR",43,25,357.908351833333,767.369320666667
"32","Burkina Faso","BFA",13,-2,58.0733846666667,4.97414033333333
"33","Burma","MMR",22,98,263.379946,516.452077
"34","Burundi","BDI",-3.5,30,7.43258916666667,8.66321933333333
"35","Cabo Verde","CPV",16,-24,8.025214,3.64451183333333
"36","Cambodia","KHM",13,105,409.245730166667,4107.04304666667
"37","Cameroon","CMR",6,12,193.522509333333,230.883829333333
"38","Canada","CAN",60,-95,279646.251206333,296903.541845
"39","Cayman Islands","CYM",19.5,-80.5,859.619781833333,56.6391698333333
"40","Central African Republic","CAF",7,21,17.3506053333333,2.263965
"41","Chad","TCD",15,19,50.484387,557.162592166667
"42","Chile","CHL",-30,-71,14304.262805,10002.486999
"43","China","CHN",35,105,118808.405895667,479521.724237
"44","Christmas Island","CXR",-10.5,105.6667,1.253928,1.1462075
"45","Cocos (Keeling) Islands","CCK",-12.5,96.8333,0.3896275,2.377239
"46","Colombia","COL",4,-72,14107.7920155,13354.1101793333
"47","Comoros","COM",-12.1667,44.25,1.65554216666667,2.90408816666667
"48","Congo (Brazzaville)","COG",-1,15,134.353106833333,282.059481
"49","Congo (Kinshasa)","COD",0,25,109.6588485,85.5895038333333
"50","Cook Islands","COK",-21.2333,-159.7667,5.87530966666667,1.71020733333333
"51","Costa Rica","CRI",10,-84,6079.66256516667,4796.58298533333
"52","Cote d'Ivoire","CIV",8,-5,279.3019575,1076.77994166667
"53","Croatia","HRV",45.1667,15.5,452.264917333333,523.0394495
"54","Cuba","CUB",21.5,-80,242.185302,3.11831333333333
"55","Curacao","CUW",12.2,-69,589.864432166667,158.521934833333
"56","Cyprus","CYP",35,33,134.421301333333,55.5033191666667
"57","Czech Republic","CZE",49.75,15.5,2498.98034216667,4922.18318766667
"58","Denmark","DNK",56,10,2585.48006116667,9150.63211816667
"59","Djibouti","DJI",11.5,43,148.5921625,36.1282698333333
"60","Dominica","DMA",15.4167,-61.3333,134.859878333333,1.81234783333333
"61","Dominican Republic","DOM",19,-70.6667,8078.22641083333,5021.984805
"62","Ecuador","ECU",-2,-77.5,5082.91597716667,6589.45486883333
"63","Egypt","EGY",27,30,4588.47333333333,2058.04632466667
"64","El Salvador","SLV",13.8333,-88.9167,3105.64399516667,2400.8554135
"65","Equatorial Guinea","GNQ",2,10,167.083778333333,292.559867833333
"66","Eritrea","ERI",15,39,8.79309316666667,0.255808333333333
"67","Estonia","EST",59,26,320.094954666667,855.78523
"68","Eswatini","SWZ",-26.5,31.5,25.4508063333333,17.9400355
"69","Ethiopia","ETH",8,38,1081.27236466667,396.6628075
"70","Falkland Islands (Islas Malvinas)","FLK",-51.75,-59,0.9537875,14.8453708333333
"71","Faroe Islands","FRO",62,-7,2.554295,121.097413166667
"72","Fiji","FJI",-18,175,71.0373006666667,219.595058833333
"73","Finland","FIN",64,26,1633.7658705,5576.081356
"74","France","FRA",46,2,32742.816982,49412.1115693333
"75","French Guiana","GUF",4,-53,493.376768333333,1.8724945
"76","French Polynesia","PYF",-15,-140,231.540576,38.9330156666667
"77","French Southern and Antarctic Lands","ATF",-43,67,4.0478035,0.0798
"78","Gabon","GAB",-1,11.75,118.631898333333,187.863849
"79","Gambia","GMB",13.4667,-16.5667,40.7674908333333,0.948209833333333
"80","Gaza Strip Administered by Israel",NA,NA,NA,0.284804,0.114853166666667
"81","Georgia","GEO",42,43.5,455.056454666667,149.623426333333
"82","Germany","DEU",51,9,54863.0508636667,120821.754403
"83","Ghana","GHA",8,-2,847.021610833333,603.668889166667
"84","Gibraltar","GIB",36.1833,-5.3667,1406.64962633333,6.83601916666667
"85","Greece","GRC",39,22,1056.39527633333,1376.80355766667
"86","Greenland","GRL",72,-40,9.57963266666667,15.8880301666667
"87","Grenada","GRD",12.1167,-61.6667,103.181454,12.497821
"88","Guadeloupe","GLP",16.25,-61.5833,207.854831166667,2.96620116666667
"89","Guatemala","GTM",15.5,-90.25,6304.568731,4018.134894
"90","Guinea","GIN",11,-10,118.859413166667,22.6779763333333
"91","Guinea-Bissau","GNB",12,-15,5.48443583333333,0.5502795
"92","Guyana","GUY",5,-59,509.555236833333,375.626232
"93","Haiti","HTI",19,-72.4167,1285.5022335,942.713484833333
"94","Heard and McDonald Islands","HMD",-53.1,72.5167,0.291207333333333,0.1040655
"95","Honduras","HND",15,-86.5,5058.739028,4554.47711
"96","Hong Kong","HKG",22.25,114.1667,34002.1580958333,6753.7638455
"97","Hungary","HUN",47,20,1871.408469,5299.7293875
"98","Iceland","ISL",65,-18,463.401869333333,406.2155665
"99","India","IND",20,77,27270.204652,50420.3104886667
"100","Indonesia","IDN",-5,120,7220.936984,20032.8463501667
"101","Iran","IRN",32,53,188.1834805,39.4717643333333
"102","Iraq","IRQ",33,44,1286.401662,7181.345834
"103","Ireland","IRL",53,-8,9760.70198116667,53092.7742051667
"104","Israel","ISR",31.5,34.75,12931.460623,20867.2286851667
"105","Italy","ITA",42.8333,12.8333,19655.4711133333,50134.3852308333
"106","Jamaica","JAM",18.25,-77.5,2044.0588285,350.045051833333
"107","Japan","JPN",36,138,67810.286185,134196.110213167
"108","Jordan","JOR",31,36,1523.11684666667,1764.46840333333
"109","Kazakhstan","KAZ",48,68,692.095131,976.537069166667
"110","Kenya","KEN",1,38,488.765571333333,596.206322
"111","Kiribati","KIR",1.4167,173,3.623947,2.78145333333333
"112","Korea, North","PRK",40,127,1.2192975,0
"113","Korea, South","KOR",37,127.5,49694.9472623333,73468.7545585
"114","Kosovo","XKX",42.6,20.9,19.3999331666667,3.1724675
"115","Kuwait","KWT",29.3375,47.6581,3253.48439633333,2512.58608533333
"116","Kyrgyzstan","KGZ",41,75,24.7416986666667,7.31653566666667
"117","Laos","LAO",18,105,23.1727843333333,98.5571471666667
"118","Latvia","LVA",57,25,381.618346,525.822887333333
"119","Lebanon","LBN",33.8333,35.8333,1105.618015,130.521792
"120","Lesotho","LSO",-29.5,28.5,1.8898835,333.855339833333
"121","Liberia","LBR",6.5,-9.5,139.311963833333,62.3085731666667
"122","Libya","LBY",25,17,254.774276,812.074931333333
"123","Liechtenstein","LIE",47.1667,9.5333,32.551889,299.994235166667
"124","Lithuania","LTU",56,24,710.033582333333,1242.59653583333
"125","Luxembourg","LUX",49.75,6.1667,1379.57259633333,552.363358166667
"126","Macau","MAC",22.1667,113.55,505.381957166667,107.344999833333
"127","Macedonia","MKD",41.8333,22,30.678977,203.356516
"128","Madagascar","MDG",-20,47,61.364719,643.2756735
"129","Malawi","MWI",-13.5,34,27.493241,62.9821395
"130","Malaysia","MYS",2.5,112.5,12594.279377,38672.1702326667
"131","Maldives","MDV",3.25,73,33.709259,21.5005008333333
"132","Mali","MLI",17,-4,75.5892431666667,3.89637933333333
"133","Malta","MLT",35.8333,14.5833,262.975847666667,371.062668333333
"134","Marshall Islands","MHL",9,168,239.269855166667,27.6874101666667
"135","Martinique","MTQ",14.6667,-61,157.730085333333,14.374881
"136","Mauritania","MRT",20,-12,112.905008333333,22.893386
"137","Mauritius","MUS",-20.2833,57.55,80.5558873333333,320.425849166667
"138","Mayotte","MYT",-12.8333,45.1667,2.10551583333333,0.248098166666667
"139","Mexico","MEX",23,-102,240914.144821,321706.305486167
"140","Micronesia","FSM",6.9167,158.25,46.3056606666667,1.22594466666667
"141","Moldova","MDA",47,29,22.1160333333333,49.7618948333333
"142","Monaco","MCO",43.7333,7.4,89.588771,55.0759478333333
