"","year","state","class","export","import","export_share","import_share"
"1","2015","Alabama","Chemicals & Allied Industries",253.54,0,"1.31%","0.00%"
"2","2015","Alabama","Food and live animals",406.05,0,"2.10%","0.00%"
"3","2015","Alabama","Machinery /Electrical/ Transportation",8234.76,7082.72,"42.62%","32.34%"
"4","2015","Alabama","Metals",501.14,188.36,"2.59%","0.86%"
"5","2015","Alabama","Mineral Products",816.07,1816.26,"4.22%","8.29%"
"6","2015","Alabama","Miscellaneous",174.98,579.43,"0.91%","2.65%"
"7","2015","Alabama","Plastics / Rubbers",593.97,69.06,"3.07%","0.32%"
"8","2015","Alabama","Top 25",11661.97,9735.85,"60.36%","44.45%"
"9","2015","Alabama","Wood & Wood Products",681.48,0,"3.53%","0.00%"
"10","2015","Alabama","World",19322.19,21900.49,"100.00%","100.00%"
"11","2015","Alaska","Chemicals & Allied Industries",0,27.33,"0.00%","1.10%"
"12","2015","Alaska","Food and live animals",2101.33,0,"45.48%","0.00%"
"13","2015","Alaska","Machinery /Electrical/ Transportation",46.81,634.79,"1.01%","25.46%"
"14","2015","Alaska","Metals",0,19.74,"0.00%","0.79%"
"15","2015","Alaska","Mineral Products",1688.47,840.7,"36.55%","33.71%"
"16","2015","Alaska","Miscellaneous",0.34,6.19,"0.01%","0.25%"
"17","2015","Alaska","Top 25",3927.25,1528.77,"85.00%","61.31%"
"18","2015","Alaska","Wood & Wood Products",90.29,0,"1.95%","0.00%"
"19","2015","Alaska","World",4620.07,2493.66,"100.00%","100.00%"
"20","2015","Arizona","Chemicals & Allied Industries",432.17,0,"1.91%","0.00%"
"21","2015","Arizona","Food and live animals",0,1457.34,"0.00%","7.38%"
"22","2015","Arizona","Machinery /Electrical/ Transportation",7036.45,4251.18,"31.06%","21.52%"
"23","2015","Arizona","Metals",0,278.79,"0.00%","1.41%"
"24","2015","Arizona","Mineral Products",2925.45,8.94,"12.91%","0.05%"
"25","2015","Arizona","Miscellaneous",570.91,83.59,"2.52%","0.42%"
"26","2015","Arizona","Plastics / Rubbers",175.05,0,"0.77%","0.00%"
"27","2015","Arizona","Textiles",132.25,0,"0.58%","0.00%"
"28","2015","Arizona","Top 25",11272.27,6079.87,"49.76%","30.78%"
"29","2015","Arizona","World",22654.21,19751.72,"100.00%","100.00%"
"30","2015","Arkansas","Chemicals & Allied Industries",247.44,0,"4.21%","0.00%"
"31","2015","Arkansas","Food and live animals",617.5,0,"10.52%","0.00%"
"32","2015","Arkansas","Footwear / Headgear",0,41.62,"0.00%","0.53%"
"33","2015","Arkansas","Machinery /Electrical/ Transportation",1560.42,1989.46,"26.58%","25.15%"
"34","2015","Arkansas","Metals",5.84,1.37,"0.10%","0.02%"
"35","2015","Arkansas","Miscellaneous",97.88,494.41,"1.67%","6.25%"
"36","2015","Arkansas","Plastics / Rubbers",175.72,30.77,"2.99%","0.39%"
"37","2015","Arkansas","Textiles",79.16,80.71,"1.35%","1.02%"
"38","2015","Arkansas","Top 25",3008.12,2638.35,"51.24%","33.35%"
"39","2015","Arkansas","Wood & Wood Products",224.15,0,"3.82%","0.00%"
"40","2015","Arkansas","World",5870.91,7911.66,"100.00%","100.00%"
"41","2015","California","Chemicals & Allied Industries",1701.97,0,"1.03%","0.00%"
"42","2015","California","Food and live animals",5450.14,0,"3.30%","0.00%"
"43","2015","California","Machinery /Electrical/ Transportation",31623.15,161771.59,"19.12%","39.62%"
"44","2015","California","Metals",857.8,0,"0.52%","0.00%"
"45","2015","California","Mineral Products",2980.17,18238.96,"1.80%","4.47%"
"46","2015","California","Miscellaneous",2857.91,6277.75,"1.73%","1.54%"
"47","2015","California","Stone / Glass",5394.22,0,"3.26%","0.00%"
"48","2015","California","Top 25",50865.37,186288.31,"30.76%","45.62%"
"49","2015","California","World",165360.38,408337.16,"100.00%","100.00%"
"50","2015","Colorado","Chemicals & Allied Industries",284.41,529.48,"3.58%","3.92%"
"51","2015","Colorado","Food and live animals",706.51,0,"8.89%","0.00%"
"52","2015","Colorado","Machinery /Electrical/ Transportation",808.2,1819.72,"10.17%","13.47%"
"53","2015","Colorado","Metals",63.45,0,"0.80%","0.00%"
"54","2015","Colorado","Mineral Products",120.02,1765.13,"1.51%","13.07%"
"55","2015","Colorado","Miscellaneous",663.95,602.8,"8.35%","4.46%"
"56","2015","Colorado","Plastics / Rubbers",49.45,167.12,"0.62%","1.24%"
"57","2015","Colorado","Raw Hides, Skins, Leather, & Furs",170.81,0,"2.15%","0.00%"
"58","2015","Colorado","Top 25",2866.82,5009.63,"36.06%","37.09%"
"59","2015","Colorado","Wood & Wood Products",0,125.35,"0.00%","0.93%"
"60","2015","Colorado","World",7949.65,13507.25,"100.00%","100.00%"
"61","2015","Connecticut","Chemicals & Allied Industries",127.42,0,"0.84%","0.00%"
"62","2015","Connecticut","Food and live animals",37.72,225.63,"0.25%","0.87%"
"63","2015","Connecticut","Footwear / Headgear",0,145.72,"0.00%","0.56%"
"64","2015","Connecticut","Machinery /Electrical/ Transportation",7440.78,4585.42,"48.82%","17.65%"
"65","2015","Connecticut","Metals",22.77,1278.71,"0.15%","4.92%"
"66","2015","Connecticut","Mineral Products",105.5,673.21,"0.69%","2.59%"
"67","2015","Connecticut","Miscellaneous",438.98,230.57,"2.88%","0.89%"
"68","2015","Connecticut","Stone / Glass",0,1341.92,"0.00%","5.17%"
"69","2015","Connecticut","Top 25",8173.16,8579.4,"53.62%","33.03%"
"70","2015","Connecticut","Wood & Wood Products",0,98.22,"0.00%","0.38%"
"71","2015","Connecticut","World",15241.76,25977.89,"100.00%","100.00%"
"72","2015","Delaware","Chemicals & Allied Industries",1310.2,3682.26,"24.23%","39.83%"
"73","2015","Delaware","Food and live animals",192.52,741.73,"3.56%","8.02%"
"74","2015","Delaware","Machinery /Electrical/ Transportation",1676.45,193.68,"31.00%","2.09%"
"75","2015","Delaware","Metals",0,50.53,"0.00%","0.55%"
"76","2015","Delaware","Mineral Products",308.01,2186.97,"5.70%","23.65%"
"77","2015","Delaware","Miscellaneous",274,92.85,"5.07%","1.00%"
"78","2015","Delaware","Plastics / Rubbers",155.31,85.12,"2.87%","0.92%"
"79","2015","Delaware","Stone / Glass",0,9.65,"0.00%","0.10%"
"80","2015","Delaware","Textiles",22.11,0,"0.41%","0.00%"
"81","2015","Delaware","Top 25",3938.61,7042.78,"72.83%","76.17%"
"82","2015","Delaware","World",5407.66,9246.1,"100.00%","100.00%"
"83","2015","District of Columbia","Chemicals & Allied Industries",0,0.86,"0.00%","0.09%"
"84","2015","District of Columbia","Food and live animals",0,76.85,"0.00%","8.42%"
"85","2015","District of Columbia","Machinery /Electrical/ Transportation",560.39,14.05,"51.51%","1.54%"
"86","2015","District of Columbia","Metals",0,2.03,"0.00%","0.22%"
"87","2015","District of Columbia","Miscellaneous",141.56,75.53,"13.01%","8.27%"
"88","2015","District of Columbia","Top 25",707.28,175.62,"65.01%","19.23%"
"89","2015","District of Columbia","Transportation",5.33,0,"0.49%","0.00%"
"90","2015","District of Columbia","Wood & Wood Products",0,6.28,"0.00%","0.69%"
"91","2015","District of Columbia","World",1088.01,913.06,"100.00%","100.00%"
"92","2015","Florida","Chemicals & Allied Industries",3116.76,835.95,"5.78%","1.14%"
"93","2015","Florida","Food and live animals",0,2311.75,"0.00%","3.15%"
"94","2015","Florida","Machinery /Electrical/ Transportation",11940.91,9688.99,"22.15%","13.19%"
"95","2015","Florida","Metals",0,541.36,"0.00%","0.74%"
"96","2015","Florida","Mineral Products",0,4470.8,"0.00%","6.08%"
"97","2015","Florida","Miscellaneous",984,348.95,"1.83%","0.47%"
"98","2015","Florida","Plastics / Rubbers",408.54,0,"0.76%","0.00%"
"99","2015","Florida","Stone / Glass",2245.36,4256.27,"4.17%","5.79%"
"100","2015","Florida","Top 25",19757.08,24100.1,"36.65%","32.80%"
"101","2015","Florida","Transportation",543.02,861.14,"1.01%","1.17%"
"102","2015","Florida","Wood & Wood Products",518.5,784.88,"0.96%","1.07%"
"103","2015","Florida","World",53903.08,73483.48,"100.00%","100.00%"
"104","2015","Georgia","Chemicals & Allied Industries",317.11,5397.84,"0.82%","6.09%"
"105","2015","Georgia","Food and live animals",926.56,52.02,"2.40%","0.06%"
"106","2015","Georgia","Machinery /Electrical/ Transportation",10626.66,22213.03,"27.53%","25.04%"
"107","2015","Georgia","Metals",0,880.92,"0.00%","0.99%"
"108","2015","Georgia","Mineral Products",492.65,0,"1.28%","0.00%"
