statename,rank,countryd,val2015,val2016,val2017,val2018,share15,share16,share17,share18,change
Alabama,0,World,19322.19,20471.18,21786.3,21349.24,1.2853,1.4108,1.409,1.2829,-2.01
Alabama,0,Top 25,17096,17963.47,19291.76,18820.76,88.4786,87.7501,88.5499,88.1565,-2.44
Alabama,1,Canada,4072.1,4135.57,4198.04,4065.84,21.0747,20.2019,19.2692,19.0444,-3.15
Alabama,2,China,3108.15,3268.05,3572.6,3045.65,16.0859,15.9642,16.3984,14.2658,-14.75
Alabama,3,Mexico,2887.04,2632.87,2928.45,2575.62,14.9416,12.8614,13.4417,12.0642,-12.05
Alabama,4,Germany,2478.4,3204.63,2948.25,2549.89,12.8267,15.6543,13.5326,11.9437,-13.51
Alabama,5,Japan,519.43,540.17,700.05,821.18,2.6883,2.6387,3.2133,3.8464,17.3
Alabama,6,India,202.45,276.36,452.49,692.36,1.0478,1.35,2.0769,3.243,53.01
Alabama,7,Brazil,333.63,242.64,444.28,668.25,1.7267,1.1853,2.0393,3.1301,50.41
Alabama,8,"Korea, South",464.81,508.25,470.98,520.72,2.4056,2.4827,2.1618,2.4391,10.56
Alabama,9,Belgium,197.35,261.19,579.69,503.58,1.0214,1.2759,2.6608,2.3588,-13.13
Alabama,10,France,447.79,421.93,411.39,433.66,2.3175,2.0611,1.8883,2.0313,5.41
Alabama,11,Netherlands,211.65,173.9,212.33,354.79,1.0954,0.8495,0.9746,1.6619,67.09
Alabama,12,United Kingdom,609.42,561.82,255.58,288.35,3.154,2.7445,1.1731,1.3506,12.82
Alabama,13,Dominican Republic,127.71,153.06,157.48,246.79,0.661,0.7477,0.7229,1.156,56.71
Alabama,14,Argentina,79.37,53.66,111.57,235.8,0.4108,0.2621,0.5121,1.1045,111.35
Alabama,15,Australia,266.87,297.85,279.65,232.46,1.3812,1.455,1.2836,1.0889,-16.87
Alabama,16,Italy,131.1,116.94,283.4,210.8,0.6785,0.5712,1.3008,0.9874,-25.62
Alabama,17,Austria,50.07,57.35,125.6,206.05,0.2591,0.2802,0.5765,0.9652,64.06
Alabama,18,Colombia,187.19,174.13,217.72,188.53,0.9688,0.8506,0.9994,0.8831,-13.41
Alabama,19,United Arab Emirates,283.43,467.91,354.75,185.64,1.4669,2.2857,1.6283,0.8695,-47.67
Alabama,20,Switzerland,26.08,27.66,98.72,144.63,0.135,0.1351,0.4531,0.6774,46.5
Alabama,21,Chile,95.17,89.85,96.05,138.83,0.4925,0.4389,0.4409,0.6503,44.54
Alabama,22,Latvia,0.72,1.51,25.43,132.74,0.0037,0.0074,0.1167,0.6218,421.96
Alabama,23,Hong Kong,136.05,125.37,122.23,129.72,0.7041,0.6124,0.561,0.6076,6.12
Alabama,24,Singapore,142.78,139.43,151.42,125.79,0.7389,0.6811,0.695,0.5892,-16.93
Alabama,25,Jamaica,37.22,31.39,93.6,123.08,0.1926,0.1533,0.4296,0.5765,31.49
Alaska,0,World,4620.07,4350.28,4942.47,4773.11,0.3073,0.2998,0.3196,0.2868,-3.43
Alaska,0,Top 25,4539.63,4271.15,4797.96,4705.73,98.2588,98.1811,97.0761,98.5883,-1.92
Alaska,1,China,1203.2,1184.21,1322.28,1019.18,26.0429,27.2214,26.7535,21.3526,-22.92
Alaska,2,"Korea, South",733.19,731.63,675.39,885.85,15.8697,16.818,13.665,18.5592,31.16
Alaska,3,Japan,964.12,815.62,812.38,792.38,20.8681,18.7488,16.4367,16.601,-2.46
Alaska,4,Canada,419.21,484.84,706.94,647.12,9.0736,11.1451,14.3034,13.5577,-8.46
Alaska,5,Netherlands,119.05,134.56,180.91,263.08,2.5767,3.0932,3.6603,5.5117,45.42
Alaska,6,Germany,279.24,256.92,181.78,208.58,6.0441,5.9058,3.6778,4.3699,14.75
Alaska,7,Spain,150.36,151.74,161.34,167.39,3.2544,3.488,3.2643,3.507,3.75
Alaska,8,Australia,85.8,73.55,158.55,132.03,1.857,1.6907,3.2078,2.766,-16.73
Alaska,9,France,46.31,54.9,70.72,82.76,1.0023,1.2621,1.4309,1.7338,17.02
Alaska,10,Italy,56.65,30.99,67.69,73.5,1.2263,0.7123,1.3696,1.5399,8.58
Alaska,11,Belgium,49.36,37.35,60.51,70.39,1.0684,0.8587,1.2242,1.4748,16.34
Alaska,12,Singapore,21.3,8.67,31.75,57.51,0.4611,0.1992,0.6424,1.2048,81.13
Alaska,13,Finland,56.8,44.59,57.33,53.58,1.2294,1.025,1.16,1.1226,-6.54
Alaska,14,Thailand,48.79,26.71,60.41,45.24,1.056,0.6139,1.2223,0.9478,-25.11
Alaska,15,Mexico,7.7,36.44,21.24,32.85,0.1667,0.8378,0.4297,0.6883,54.7
Alaska,16,Taiwan,104.82,29.23,50.66,25.63,2.2689,0.6718,1.025,0.537,-49.41
Alaska,17,Poland,0.22,2.45,2.55,21.31,0.0047,0.0562,0.0516,0.4464,736.03
Alaska,18,United Kingdom,40.68,25.65,26.6,21.21,0.8805,0.5897,0.5381,0.4444,-20.24
Alaska,19,Malaysia,105.95,84.67,86.57,20.19,2.2931,1.9463,1.7516,0.423,-76.68
Alaska,20,Ukraine,4.13,11.17,19.31,19.03,0.0893,0.2568,0.3907,0.3987,-1.45
Alaska,21,Israel,0.54,5.32,0.83,19.02,0.0116,0.1222,0.0168,0.3986,2193.6
