HS2,class_hs2
01,Food and live animals
02,Food and live animals
03,Food and live animals
04,Food and live animals
05,Food and live animals
06,Food and live animals
07,Food and live animals
08,Food and live animals
09,Food and live animals
10,Food and live animals
11,Food and live animals
12,Food and live animals
13,Food and live animals
14,Food and live animals
15,Food and live animals
16,Food and live animals
17,Food and live animals
18,Food and live animals
19,Food and live animals
20,Food and live animals
21,Food and live animals
22,Food and live animals
23,Food and live animals
24,Food and live animals
25,Mineral Products
26,Mineral Products
27,Mineral Products
28,Chemicals & Allied Industries
29,Chemicals & Allied Industries
30,Chemicals & Allied Industries
31,Chemicals & Allied Industries
32,Chemicals & Allied Industries
33,Chemicals & Allied Industries
34,Chemicals & Allied Industries
35,Chemicals & Allied Industries
36,Chemicals & Allied Industries
37,Chemicals & Allied Industries
38,Chemicals & Allied Industries
39,Plastics / Rubbers
40,Plastics / Rubbers
41,"Raw Hides, Skins, Leather, & Furs"
42,"Raw Hides, Skins, Leather, & Furs"
43,"Raw Hides, Skins, Leather, & Furs"
44,Wood & Wood Products
45,Wood & Wood Products
46,Wood & Wood Products
47,Wood & Wood Products
48,Wood & Wood Products
49,Wood & Wood Products
50,Textiles
51,Textiles
52,Textiles
53,Textiles
54,Textiles
55,Textiles
56,Textiles
57,Textiles
58,Textiles
59,Textiles
60,Textiles
61,Textiles
62,Textiles
63,Textiles
64,Footwear / Headgear
65,Footwear / Headgear
66,Footwear / Headgear
67,Footwear / Headgear
68,Stone / Glass
69,Stone / Glass
70,Stone / Glass
71,Stone / Glass
72,Metals
73,Metals
74,Metals
75,Metals
76,Metals
77,Metals
78,Metals
79,Metals
80,Metals
81,Metals
82,Metals
83,Metals
84,Machinery /Electrical/ Transportation
85,Machinery /Electrical/ Transportation
86,Machinery /Electrical/ Transportation
87,Machinery /Electrical/ Transportation
88,Machinery /Electrical/ Transportation
89,Transportation
90,Miscellaneous
91,Miscellaneous
92,Miscellaneous
93,Miscellaneous
94,Miscellaneous
95,Miscellaneous
96,Miscellaneous
97,Miscellaneous
98,Miscellaneous
