statename,rank,countryd,val2015,val2016,val2017,val2018,share15,share16,share17,share18,change
Alabama,0,World,21900.49,22133.6,23628.66,26220.73,0.9739,1.0118,1.0089,1.0312,10.97
Alabama,0,Top 25,19759.67,20161.65,21539.31,23803.01,90.2248,91.0907,91.1575,90.7794,10.51
Alabama,1,Mexico,2878.11,3177.14,3598.9,4200.95,13.1418,14.3544,15.2311,16.0215,16.73
Alabama,2,"Korea, South",4687.39,4527.06,3886.54,4055.44,21.4031,20.4534,16.4484,15.4665,4.35
Alabama,3,Germany,4109.56,3869.28,3853.48,3442.08,18.7647,17.4815,16.3085,13.1273,-10.68
Alabama,4,Canada,2043.63,2075.59,2622.49,3120.41,9.3314,9.3776,11.0987,11.9006,18.99
Alabama,5,China,2183.15,1871.99,2244.9,2809.76,9.9685,8.4577,9.5007,10.7158,25.16
Alabama,6,France,166.08,231.6,632.25,866.38,0.7584,1.0464,2.6758,3.3042,37.03
Alabama,7,Japan,1015.32,824.9,804.42,829.27,4.636,3.7269,3.4044,3.1626,3.09
Alabama,8,United Kingdom,243.08,319.29,428.31,718.94,1.1099,1.4426,1.8127,2.7419,67.86
Alabama,9,Iraq,217.07,534.68,719.49,682.51,0.9911,2.4157,3.045,2.6029,-5.14
Alabama,10,Vietnam,256.46,301.55,370.82,386.33,1.171,1.3624,1.5694,1.4734,4.18
Alabama,11,Italy,167.1,188.78,203.26,296.15,0.763,0.8529,0.8602,1.1294,45.7
Alabama,12,Brazil,173.89,197.03,273.88,269.37,0.794,0.8902,1.1591,1.0273,-1.64
Alabama,13,India,141.16,149.83,284.6,248.42,0.6446,0.677,1.2045,0.9474,-12.71
Alabama,14,Taiwan,188.73,136.99,174.85,221.81,0.8618,0.6189,0.74,0.8459,26.86
Alabama,15,Russia,174.99,336.17,41.84,195.16,0.799,1.5188,0.1771,0.7443,366.43
Alabama,16,Indonesia,91.68,160.22,183.76,180.28,0.4186,0.7239,0.7777,0.6876,-1.89
Alabama,17,Honduras,170.29,104.07,149.45,162.3,0.7776,0.4702,0.6325,0.619,8.6
Alabama,18,Czech Republic,239.78,222.94,173.82,161.54,1.0948,1.0073,0.7356,0.6161,-7.07
Alabama,19,Colombia,176.04,264.59,119.16,152.96,0.8038,1.1954,0.5043,0.5833,28.36
Alabama,20,Spain,115.38,96.42,134.96,148.92,0.5268,0.4356,0.5712,0.5679,10.35
Alabama,21,Bangladesh,17.04,121,137.24,135.54,0.0778,0.5467,0.5808,0.5169,-1.24
Alabama,22,Australia,135.92,106.45,151.43,135.38,0.6206,0.481,0.6409,0.5163,-10.6
Alabama,23,Netherlands,82.7,82.7,84.99,132.79,0.3776,0.3736,0.3597,0.5064,56.23
Alabama,24,Argentina,8.38,186.87,168.24,127.91,0.0382,0.8443,0.712,0.4878,-23.98
Alabama,25,Switzerland,76.75,74.49,96.23,122.43,0.3505,0.3366,0.4073,0.4669,27.23
Alaska,0,World,2493.66,2091.06,1731.74,1894.34,0.1109,0.0956,0.0739,0.0745,9.39
Alaska,0,Top 25,2454.81,2067.56,1690.3,1867.35,98.4423,98.876,97.6073,98.575,10.47
Alaska,1,"Korea, South",328.63,317.88,463.44,553.37,13.1784,15.2018,26.7617,29.2119,19.4
Alaska,2,Canada,611.82,477.53,455.77,517.52,24.535,22.8369,26.3187,27.3192,13.55
Alaska,3,China,662.59,454.91,374.79,310.86,26.5708,21.7548,21.6422,16.4098,-17.06
Alaska,4,Thailand,17.01,312.68,61.85,119.11,0.6823,14.9531,3.5713,6.2875,92.59
Alaska,5,Japan,528.41,80.81,65.63,97.89,21.1902,3.8644,3.7896,5.1676,49.17
Alaska,6,Malaysia,9.92,67.99,44.6,44.65,0.3977,3.2517,2.5755,2.357,0.11
Alaska,7,Germany,15.89,13.16,13.72,33.83,0.6373,0.6291,0.7925,1.7857,146.5
Alaska,8,Taiwan,68.5,30.94,28.56,29.71,2.7468,1.4796,1.649,1.5682,4.03
Alaska,9,Philippines,13.04,15.65,16.59,27.81,0.523,0.7484,0.9579,1.4683,67.67
Alaska,10,Mexico,32.8,27.94,19.97,23.15,1.3152,1.3361,1.1534,1.2223,15.92
Alaska,11,United Kingdom,30.07,22.42,18.27,14.23,1.2057,1.072,1.0551,0.7513,-22.1
Alaska,12,Italy,11.17,6.41,3.93,11.36,0.4478,0.3064,0.2269,0.5998,189.18
Alaska,13,Singapore,28.24,65.14,2.79,10.7,1.1324,3.1153,0.161,0.5648,283.73
Alaska,14,France,14.35,62.91,9.03,10.5,0.5756,3.0086,0.5216,0.5543,16.24
Alaska,15,Russia,46.87,75.9,83,8.83,1.8794,3.6296,4.7927,0.4659,-89.37
Alaska,16,India,2.15,5.27,2.94,8.38,0.0863,0.2522,0.17,0.4424,184.73
Alaska,17,Denmark,5.84,8.14,4.37,7.64,0.234,0.3895,0.2524,0.4031,74.66
Alaska,18,Finland,5.08,2.25,3.58,5.43,0.2038,0.1076,0.2066,0.2869,51.87
Alaska,19,Australia,5.07,4.45,1.84,5.43,0.2033,0.2127,0.1061,0.2865,195.3
Alaska,20,Venezuela,0.01,0,0,5.05,0.0003,0,0,0.2667,0
Alaska,21,Argentina,2.58,2.3,3.89,4.73,0.1033,0.1099,0.2245,0.2499,21.74
Alaska,22,Austria,2,3.65,1.13,4.4,0.0804,0.1744,0.0653,0.2323,289.19
Alaska,23,Vietnam,1.64,2.84,2.86,4.33,0.0656,0.136,0.1651,0.2286,51.47
Alaska,24,Norway,4.89,0.93,2.68,4.22,0.1959,0.0445,0.1546,0.2227,57.56
Alaska,25,Netherlands,6.28,5.47,5.08,4.21,0.2517,0.2614,0.2934,0.2223,-17.12
