"","year","SITC","class","country","export","import"
"1","2015","0","FOOD AND LIVE ANIMALS","World Total",101534944489,98641915293
"2","2015","0","FOOD AND LIVE ANIMALS","Greenland",92558,2455174
"3","2015","0","FOOD AND LIVE ANIMALS","Canada",21552623317,21329125774
"4","2015","0","FOOD AND LIVE ANIMALS","St Pierre and Miquelon",0,166042
"5","2015","0","FOOD AND LIVE ANIMALS","Mexico",13994875704,18102964237
"6","2015","0","FOOD AND LIVE ANIMALS","Guatemala",902770144,1834308677
"7","2015","0","FOOD AND LIVE ANIMALS","Belize",46256826,57910458
"8","2015","0","FOOD AND LIVE ANIMALS","El Salvador",447411343,231689326
"9","2015","0","FOOD AND LIVE ANIMALS","Honduras",524618718,815493974
"10","2015","0","FOOD AND LIVE ANIMALS","Nicaragua",170944625,632042052
"11","2015","0","FOOD AND LIVE ANIMALS","Costa Rica",493931467,1486028408
"12","2015","0","FOOD AND LIVE ANIMALS","Panama",582003858,133144990
"13","2015","0","FOOD AND LIVE ANIMALS","Bermuda",88033532,57000
"14","2015","0","FOOD AND LIVE ANIMALS","Bahamas",235697001,48117834
"15","2015","0","FOOD AND LIVE ANIMALS","Cuba",132287287,0
"16","2015","0","FOOD AND LIVE ANIMALS","Jamaica",347164850,94851489
"17","2015","0","FOOD AND LIVE ANIMALS","Turks and Caicos Islands",23475566,3819520
"18","2015","0","FOOD AND LIVE ANIMALS","Cayman Islands",53167301,778953
"19","2015","0","FOOD AND LIVE ANIMALS","Haiti",329058297,21000590
"20","2015","0","FOOD AND LIVE ANIMALS","Dominican Republic",886495496,376101271
"21","2015","0","FOOD AND LIVE ANIMALS","Anguilla",5228869,89486
"22","2015","0","FOOD AND LIVE ANIMALS","British Virgin Islands",21272396,11678
"23","2015","0","FOOD AND LIVE ANIMALS","St Kitts and Nevis",15533864,380285
"24","2015","0","FOOD AND LIVE ANIMALS","Antigua and Barbuda",25723841,8389
"25","2015","0","FOOD AND LIVE ANIMALS","Montserrat",592800,0
"26","2015","0","FOOD AND LIVE ANIMALS","Dominica",8912430,100727
"27","2015","0","FOOD AND LIVE ANIMALS","St Lucia",32300618,820155
"28","2015","0","FOOD AND LIVE ANIMALS","St Vincent and the Grenadines",22297942,276746
"29","2015","0","FOOD AND LIVE ANIMALS","Grenada",16983002,7738510
"30","2015","0","FOOD AND LIVE ANIMALS","Barbados",85833706,9066560
"31","2015","0","FOOD AND LIVE ANIMALS","Trinidad and Tobago",345745895,60215651
"32","2015","0","FOOD AND LIVE ANIMALS","Sint Maarten",61477375,3000
"33","2015","0","FOOD AND LIVE ANIMALS","Curacao",57389708,0
"34","2015","0","FOOD AND LIVE ANIMALS","Aruba",67206377,0
"35","2015","0","FOOD AND LIVE ANIMALS","Guadeloupe",3555958,11333
"36","2015","0","FOOD AND LIVE ANIMALS","Martinique",2212791,32279
"37","2015","0","FOOD AND LIVE ANIMALS","Colombia",2025398253,1807594228
"38","2015","0","FOOD AND LIVE ANIMALS","Venezuela",519670734,60582348
"39","2015","0","FOOD AND LIVE ANIMALS","Guyana",64874223,73628126
"40","2015","0","FOOD AND LIVE ANIMALS","Suriname",47936605,29777859
"41","2015","0","FOOD AND LIVE ANIMALS","French Guiana",1316764,0
"42","2015","0","FOOD AND LIVE ANIMALS","Ecuador",322816282,1888044813
"43","2015","0","FOOD AND LIVE ANIMALS","Peru",767067573,1830326111
"44","2015","0","FOOD AND LIVE ANIMALS","Bolivia",30020706,116963246
"45","2015","0","FOOD AND LIVE ANIMALS","Chile",655440481,3824391505
"46","2015","0","FOOD AND LIVE ANIMALS","Brazil",473562823,2970275155
"47","2015","0","FOOD AND LIVE ANIMALS","Paraguay",10525647,57832304
"48","2015","0","FOOD AND LIVE ANIMALS","Uruguay",47380911,379172882
"49","2015","0","FOOD AND LIVE ANIMALS","Argentina",64309358,974546626
"50","2015","0","FOOD AND LIVE ANIMALS","Falkland Islands (Islas Malvinas)",13741,12893604
"51","2015","0","FOOD AND LIVE ANIMALS","Iceland",30049187,167340994
"52","2015","0","FOOD AND LIVE ANIMALS","Sweden",149700343,105782841
"53","2015","0","FOOD AND LIVE ANIMALS","Svalbard, Jan Mayen Island",88000,0
"54","2015","0","FOOD AND LIVE ANIMALS","Norway",109653889,526463641
"55","2015","0","FOOD AND LIVE ANIMALS","Finland",22285263,44432222
"56","2015","0","FOOD AND LIVE ANIMALS","Faroe Islands",0,91408701
"57","2015","0","FOOD AND LIVE ANIMALS","Denmark",214206562,394324393
"58","2015","0","FOOD AND LIVE ANIMALS","United Kingdom",1312823650,618711174
"59","2015","0","FOOD AND LIVE ANIMALS","Ireland",251619915,354614729
"60","2015","0","FOOD AND LIVE ANIMALS","Netherlands",1635609131,765914383
"61","2015","0","FOOD AND LIVE ANIMALS","Belgium",536550912,327558127
"62","2015","0","FOOD AND LIVE ANIMALS","Luxembourg",21925677,1508364
"63","2015","0","FOOD AND LIVE ANIMALS","Monaco",308001,311069
"64","2015","0","FOOD AND LIVE ANIMALS","France",410680181,754911691
"65","2015","0","FOOD AND LIVE ANIMALS","Germany",1284129684,1206680943
"66","2015","0","FOOD AND LIVE ANIMALS","Austria",12847144,60205335
"67","2015","0","FOOD AND LIVE ANIMALS","Czech Republic",17049978,21657985
"68","2015","0","FOOD AND LIVE ANIMALS","Slovakia",2538266,2400396
"69","2015","0","FOOD AND LIVE ANIMALS","Hungary",24279528,19971062
"70","2015","0","FOOD AND LIVE ANIMALS","Liechtenstein",6805,0
"71","2015","0","FOOD AND LIVE ANIMALS","Switzerland",132138683,390919597
"72","2015","0","FOOD AND LIVE ANIMALS","Estonia",19837108,9462376
"73","2015","0","FOOD AND LIVE ANIMALS","Latvia",18260140,8274960
"74","2015","0","FOOD AND LIVE ANIMALS","Lithuania",79642406,47819795
"75","2015","0","FOOD AND LIVE ANIMALS","Poland",91380852,348178062
"76","2015","0","FOOD AND LIVE ANIMALS","Russia",137931658,342676591
"77","2015","0","FOOD AND LIVE ANIMALS","Belarus",2042751,2783914
"78","2015","0","FOOD AND LIVE ANIMALS","Ukraine",57136820,53922050
"79","2015","0","FOOD AND LIVE ANIMALS","Armenia",3972714,2443216
"80","2015","0","FOOD AND LIVE ANIMALS","Azerbaijan",5546914,515405
"81","2015","0","FOOD AND LIVE ANIMALS","Georgia",67312144,1997901
"82","2015","0","FOOD AND LIVE ANIMALS","Kazakhstan",51901194,5055027
"83","2015","0","FOOD AND LIVE ANIMALS","Kyrgyzstan",2787900,31752
"84","2015","0","FOOD AND LIVE ANIMALS","Moldova",1991504,7592969
"85","2015","0","FOOD AND LIVE ANIMALS","Tajikistan",4045169,415328
"86","2015","0","FOOD AND LIVE ANIMALS","Turkmenistan",7165644,54432
