,statename,rank,countryd,val2015,val2016,val2017,val2018,val2019,val2020,share15,share16,share17,share18,share19,share20,change
0,Alabama,0,World,19322.19,20471.18,21786.3,21349.24,20799.79,17131.28,1.2853,1.4108,1.409,1.2829,1.2658,1.1966,-2.01
1,Alabama,0,Top 25,17096,17963.47,19291.76,18820.76,18099.09,15295.59,88.4786,87.7501,88.5499,88.1565,87.0157,89.2846,-2.44
2,Alabama,1,Canada,4072.1,4135.57,4198.04,4065.84,3918.37,2910.07,21.0747,20.2019,19.2692,19.0444,18.8385,16.9869,-3.15
3,Alabama,2,China,3108.15,3268.05,3572.6,3045.65,2317.39,3102.37,16.0859,15.9642,16.3984,14.2658,11.1414,18.1094,-14.75
4,Alabama,3,Mexico,2887.04,2632.87,2928.45,2575.62,2232.59,1843.83,14.9416,12.8614,13.4417,12.0642,10.7337,10.7629,-12.05
5,Alabama,4,Germany,2478.4,3204.63,2948.25,2549.89,3139.85,2233.39,12.8267,15.6543,13.5326,11.9437,15.0956,13.0369,-13.51
6,Alabama,5,Japan,519.43,540.17,700.05,821.18,772.76,701.86,2.6883,2.6387,3.2133,3.8464,3.7152,4.0969,17.3
7,Alabama,6,India,202.45,276.36,452.49,692.36,496.89,380.85,1.0478,1.35,2.0769,3.243,2.3889,2.2232,53.01
8,Alabama,7,Brazil,333.63,242.64,444.28,668.25,519.68,409.6,1.7267,1.1853,2.0393,3.1301,2.4985,2.3909,50.41
9,Alabama,8,"Korea, South",464.81,508.25,470.98,520.72,530.97,626.31,2.4056,2.4827,2.1618,2.4391,2.5528,3.6559,10.56
10,Alabama,9,Belgium,197.35,261.19,579.69,503.58,565.27,361.84,1.0214,1.2759,2.6608,2.3588,2.7177,2.1122,-13.13
11,Alabama,10,France,447.79,421.93,411.39,433.66,498.74,226.4,2.3175,2.0611,1.8883,2.0313,2.3978,1.3215,5.41
12,Alabama,11,Netherlands,211.65,173.9,212.33,354.79,460.46,256.51,1.0954,0.8495,0.9746,1.6619,2.2138,1.4973,67.09
13,Alabama,12,United Kingdom,609.42,561.82,255.58,288.35,378.76,280.51,3.154,2.7445,1.1731,1.3506,1.821,1.6374,12.82
14,Alabama,13,Dominican Republic,127.71,153.06,157.48,246.79,267.4,158.34,0.661,0.7477,0.7229,1.156,1.2856,0.9243,56.71
15,Alabama,15,Australia,266.87,297.85,279.65,232.46,305.15,260.95,1.3812,1.455,1.2836,1.0889,1.4671,1.5232,-16.87
16,Alabama,17,Austria,50.07,57.35,125.6,206.05,380.8,214.25,0.2591,0.2802,0.5765,0.9652,1.8308,1.2506,64.06
17,Alabama,18,Colombia,187.19,174.13,217.72,188.53,216.63,165.54,0.9688,0.8506,0.9994,0.8831,1.0415,0.9663,-13.41
18,Alabama,24,Singapore,142.78,139.43,151.42,125.79,168.13,144.47,0.7389,0.6811,0.695,0.5892,0.8083,0.8433,-16.93
19,Alaska,0,World,4620.07,4350.28,4942.47,4773.11,4990.09,4612,0.3073,0.2998,0.3196,0.2868,0.3037,0.3221,-3.43
20,Alaska,0,Top 25,4539.63,4271.15,4797.96,4705.73,4877.85,4559.4,98.2588,98.1811,97.0761,98.5883,97.7507,98.8595,-1.92
21,Alaska,1,China,1203.2,1184.21,1322.28,1019.18,855.32,1175.67,26.0429,27.2214,26.7535,21.3526,17.1403,25.4915,-22.92
22,Alaska,2,"Korea, South",733.19,731.63,675.39,885.85,1083.35,810.27,15.8697,16.818,13.665,18.5592,21.7099,17.5687,31.16
23,Alaska,3,Japan,964.12,815.62,812.38,792.38,679.33,647.24,20.8681,18.7488,16.4367,16.601,13.6135,14.0338,-2.46
24,Alaska,4,Canada,419.21,484.84,706.94,647.12,582.07,499.25,9.0736,11.1451,14.3034,13.5577,11.6644,10.8251,-8.46
25,Alaska,5,Netherlands,119.05,134.56,180.91,263.08,349.78,274.84,2.5767,3.0932,3.6603,5.5117,7.0095,5.9592,45.42
26,Alaska,6,Germany,279.24,256.92,181.78,208.58,218.83,146.34,6.0441,5.9058,3.6778,4.3699,4.3852,3.1731,14.75
27,Alaska,7,Spain,150.36,151.74,161.34,167.39,153.71,45.76,3.2544,3.488,3.2643,3.507,3.0804,0.9921,3.75
28,Alaska,8,Australia,85.8,73.55,158.55,132.03,354.49,449.68,1.857,1.6907,3.2078,2.766,7.104,9.7503,-16.73
29,Alaska,9,France,46.31,54.9,70.72,82.76,76.71,78.46,1.0023,1.2621,1.4309,1.7338,1.5373,1.7012,17.02
30,Alaska,10,Italy,56.65,30.99,67.69,73.5,59.28,11.27,1.2263,0.7123,1.3696,1.5399,1.1879,0.2443,8.58
