,statename,rank,countryd,val2015,val2016,val2017,val2018,val2019,val2020,share15,share16,share17,share18,share19,share20,change
0,Alabama,0,World,21900.49,22133.6,23628.66,26220.73,28427.94,25512.04,0.9739,1.0118,1.0089,1.0312,1.1382,1.0919,10.97
1,Alabama,0,Top 25,19759.67,20161.65,21539.31,23803.01,25790.35,23327.84,90.2248,91.0907,91.1575,90.7794,90.7218,91.4386,10.51
2,Alabama,1,Mexico,2878.11,3177.14,3598.9,4200.95,5027.9,4160.94,13.1418,14.3544,15.2311,16.0215,17.6865,16.3097,16.73
3,Alabama,2,"Korea, South",4687.39,4527.06,3886.54,4055.44,4624.45,4099.02,21.4031,20.4534,16.4484,15.4665,16.2673,16.067,4.35
4,Alabama,3,Germany,4109.56,3869.28,3853.48,3442.08,3106.45,3486.1,18.7647,17.4815,16.3085,13.1273,10.9274,13.6645,-10.68
5,Alabama,4,Canada,2043.63,2075.59,2622.49,3120.41,2974.17,2571.88,9.3314,9.3776,11.0987,11.9006,10.4621,10.081,18.99
6,Alabama,5,China,2183.15,1871.99,2244.9,2809.76,3197.71,3214.74,9.9685,8.4577,9.5007,10.7158,11.2485,12.6009,25.16
7,Alabama,6,France,166.08,231.6,632.25,866.38,1460.49,368.84,0.7584,1.0464,2.6758,3.3042,5.1375,1.4458,37.03
8,Alabama,7,Japan,1015.32,824.9,804.42,829.27,926.4,1264.34,4.636,3.7269,3.4044,3.1626,3.2588,4.9559,3.09
9,Alabama,8,United Kingdom,243.08,319.29,428.31,718.94,587.64,422.2,1.1099,1.4426,1.8127,2.7419,2.0671,1.6549,67.86
10,Alabama,9,Iraq,217.07,534.68,719.49,682.51,421.66,169.49,0.9911,2.4157,3.045,2.6029,1.4833,0.6644,-5.14
11,Alabama,10,Vietnam,256.46,301.55,370.82,386.33,590.92,603.2,1.171,1.3624,1.5694,1.4734,2.0786,2.3644,4.18
12,Alabama,11,Italy,167.1,188.78,203.26,296.15,235.32,271.99,0.763,0.8529,0.8602,1.1294,0.8278,1.0661,45.7
13,Alabama,12,Brazil,173.89,197.03,273.88,269.37,365.09,362.09,0.794,0.8902,1.1591,1.0273,1.2842,1.4193,-1.64
14,Alabama,13,India,141.16,149.83,284.6,248.42,337.5,342.72,0.6446,0.677,1.2045,0.9474,1.1872,1.3434,-12.71
15,Alabama,14,Taiwan,188.73,136.99,174.85,221.81,231.55,279.1,0.8618,0.6189,0.74,0.8459,0.8145,1.094,26.86
16,Alabama,16,Indonesia,91.68,160.22,183.76,180.28,230.91,204.16,0.4186,0.7239,0.7777,0.6876,0.8123,0.8003,-1.89
17,Alabama,17,Honduras,170.29,104.07,149.45,162.3,200.31,154.32,0.7776,0.4702,0.6325,0.619,0.7046,0.6049,8.6
18,Alabama,18,Czech Republic,239.78,222.94,173.82,161.54,155.22,154.56,1.0948,1.0073,0.7356,0.6161,0.546,0.6058,-7.07
19,Alabama,19,Colombia,176.04,264.59,119.16,152.96,199.85,174.84,0.8038,1.1954,0.5043,0.5833,0.703,0.6853,28.36
20,Alabama,21,Bangladesh,17.04,121,137.24,135.54,132.65,154.79,0.0778,0.5467,0.5808,0.5169,0.4666,0.6067,-1.24
21,Alaska,0,World,2493.66,2091.06,1731.74,1894.34,2289.45,2386.74,0.1109,0.0956,0.0739,0.0745,0.0917,0.1021,9.39
22,Alaska,0,Top 25,2454.81,2067.56,1690.3,1867.35,2224.61,2357.54,98.4423,98.876,97.6073,98.575,97.1679,98.7764,10.47
23,Alaska,1,"Korea, South",328.63,317.88,463.44,553.37,681.51,835.83,13.1784,15.2018,26.7617,29.2119,29.7672,35.0198,19.4
24,Alaska,2,Canada,611.82,477.53,455.77,517.52,716.54,459.4,24.535,22.8369,26.3187,27.3192,31.2976,19.2479,13.55
25,Alaska,3,China,662.59,454.91,374.79,310.86,126.04,116.07,26.5708,21.7548,21.6422,16.4098,5.505,4.8633,-17.06
26,Alaska,4,Thailand,17.01,312.68,61.85,119.11,172.58,211.35,0.6823,14.9531,3.5713,6.2875,7.5382,8.855,92.59
27,Alaska,5,Japan,528.41,80.81,65.63,97.89,101.74,106.86,21.1902,3.8644,3.7896,5.1676,4.4438,4.4771,49.17
28,Alaska,6,Malaysia,9.92,67.99,44.6,44.65,97.58,133.87,0.3977,3.2517,2.5755,2.357,4.262,5.6088,0.11
29,Alaska,7,Germany,15.89,13.16,13.72,33.83,18.89,40.68,0.6373,0.6291,0.7925,1.7857,0.8251,1.7042,146.5
30,Alaska,8,Taiwan,68.5,30.94,28.56,29.71,22.02,29.6,2.7468,1.4796,1.649,1.5682,0.9617,1.24,4.03
31,Alaska,9,Philippines,13.04,15.65,16.59,27.81,44.35,22.74,0.523,0.7484,0.9579,1.4683,1.9374,0.9528,67.67
32,Alaska,10,Mexico,32.8,27.94,19.97,23.15,58.8,43.7,1.3152,1.3361,1.1534,1.2223,2.5682,1.8311,15.92
33,Alaska,11,United Kingdom,30.07,22.42,18.27,14.23,31.66,16.32,1.2057,1.072,1.0551,0.7513,1.3829,0.6839,-22.1
34,Alaska,12,Italy,11.17,6.41,3.93,11.36,8.38,25.65,0.4478,0.3064,0.2269,0.5998,0.3662,1.0745,189.18
35,Alaska,13,Singapore,28.24,65.14,2.79,10.7,13.6,20.18,1.1324,3.1153,0.161,0.5648,0.594,0.8457,283.73
36,Alaska,14,France,14.35,62.91,9.03,10.5,7.31,105.82,0.5756,3.0086,0.5216,0.5543,0.3193,4.4336,16.24
37,Alaska,15,Russia,46.87,75.9,83,8.83,38.42,9.23,1.8794,3.6296,4.7927,0.4659,1.6783,0.3869,-89.37
38,Alaska,16,India,2.15,5.27,2.94,8.38,6.37,3.45,0.0863,0.2522,0.17,0.4424,0.278,0.1444,184.73
39,Alaska,17,Denmark,5.84,8.14,4.37,7.64,3.74,5.48,0.234,0.3895,0.2524,0.4031,0.1635,0.2294,74.66
40,Alaska,18,Finland,5.08,2.25,3.58,5.43,26.03,3.79,0.2038,0.1076,0.2066,0.2869,1.1369,0.1589,51.87
41,Alaska,19,Australia,5.07,4.45,1.84,5.43,8.63,13.12,0.2033,0.2127,0.1061,0.2865,0.377,0.5498,195.3
42,Alaska,21,Argentina,2.58,2.3,3.89,4.73,3.2,3.17,0.1033,0.1099,0.2245,0.2499,0.1396,0.133,21.74
43,Alaska,23,Vietnam,1.64,2.84,2.86,4.33,19,137.4,0.0656,0.136,0.1651,0.2286,0.8299,5.757,51.47
44,Alaska,25,Netherlands,6.28,5.47,5.08,4.21,4.44,4.19,0.2517,0.2614,0.2934,0.2223,0.1941,0.1754,-17.12
45,Arizona,0,World,19751.72,19647.67,20546.6,22458.02,26553.25,25686.05,0.8783,0.8981,0.8773,0.8832,1.0632,1.0993,9.3
46,Arizona,0,Top 25,18918.87,18854.92,19679.36,21660.3,25484.82,24627.26,95.7834,95.9652,95.7792,96.448,95.9763,95.878,10.07
47,Arizona,1,Mexico,7640.55,7447.94,7915.32,9041.65,9302.14,8977.79,38.683,37.9075,38.5237,40.2602,35.032,34.952,14.23
48,Arizona,2,China,2651.04,2555.48,2920.92,3403.03,3227.78,2997.68,13.4218,13.0065,14.2161,15.1528,12.1559,11.6704,16.51
